,L,H,label,head_dla,mover_attn,mover_dla,dla_ratio,induction,eigenvals_vocab,eigenvals_resid,frac_copy_argmax,head_dla_no_ind,mover_attn_no_ind,mover_dla_no_ind,ratio_dla_no_ind
0,0,0,L0H0,0.60507333,0.050990716,0.0015287723,0.08580339,0.00061448285,0.0878792,0.044255733,1.9879134924849495e-05,0.81049645,0.060834758,0.006755147,0.11334557
1,0,1,L0H1,0.2764856,0.014120537,6.301416e-07,0.009107305,1.7982067e-06,-0.030414276,0.055366017,0.0,0.40656543,0.02348447,2.6331104e-06,0.024073437
2,0,2,L0H2,0.20403744,0.033527438,0.0018297839,0.060174596,0.0013582421,0.12117407,0.11199707,1.9879134924849495e-05,0.28898513,0.03945048,0.0034054206,0.08394239
3,0,3,L0H3,0.4595781,0.057392932,0.00052562443,0.08157237,0.0012901009,-0.0420214,-0.036090087,3.975826984969899e-05,0.5786593,0.11941484,0.011897794,0.17021973
4,0,4,L0H4,0.2748761,0.051292475,0.002234682,0.036185306,0.0001692859,0.09761685,0.011313506,0.0,0.35120028,0.08000139,0.0057476014,0.07190317
5,0,5,L0H5,0.32389247,0.04874599,5.8547494e-06,0.06499811,0.00054440525,0.020968297,-0.011060173,5.9637404774548486e-05,0.44912335,0.090341546,4.114462e-05,0.12448855
6,0,6,L0H6,0.80282104,0.034919336,0.023493975,0.06463981,0.0023417566,0.0826151,0.047043603,7.951653969939798e-05,0.9535146,0.043432217,0.032150876,0.09098225
7,0,7,L0H7,0.37589157,0.04386429,0.0010197071,0.044175062,0.00024090234,0.049568307,-0.08247479,1.9879134924849495e-05,0.5123015,0.0971992,0.00974806,0.13174741
8,1,0,L1H0,0.12115822,0.06040747,0.002893241,0.07461525,0.0025062372,-0.15182735,-0.5446266,0.0,0.16750225,0.075843915,0.0052858107,0.107549936
9,1,1,L1H1,0.23158553,0.019694407,0.0007509182,0.005957806,0.00061199116,0.26320648,0.6577359,5.9637404774548486e-05,0.32640892,0.062329624,0.002844807,0.019033257
10,1,2,L1H2,0.20431033,0.030335568,1.44759515e-05,0.014283811,0.0007342047,0.09941029,0.10617963,3.975826984969899e-05,0.33446693,0.14329386,0.00010264902,0.16170429
11,1,3,L1H3,0.36252132,0.03859029,0.00010970968,0.041263267,3.8052617e-06,0.27255204,-0.5420986,3.975826984969899e-05,0.49520954,0.07088023,0.0003482082,0.14055015
12,1,4,L1H4,0.24878348,0.041401975,0.0065128054,0.06723332,0.0024647047,0.6822298,-0.25025237,0.000834923645015806,0.3463621,0.0504059,0.0075550834,0.09115011
13,1,5,L1H5,0.19413371,0.05449889,0.0011863641,0.054114472,0.00076888263,-0.07924138,-0.3309382,3.975826984969899e-05,0.2826765,0.07590751,0.0027221167,0.10359185
14,1,6,L1H6,0.2206284,0.044336848,0.0039838217,0.06177676,0.0020385291,0.8249863,0.28115493,0.006579993758350611,0.33196405,0.062169902,0.0048148385,0.09196924
15,1,7,L1H7,0.12915377,0.05195699,0.0015637815,0.05280296,0.001667837,0.6838385,0.32551,0.0013319019926711917,0.21246886,0.0989505,0.0018416174,0.12037946
16,2,0,L2H0,0.37726825,0.038907353,0.0022122725,0.030197175,2.3569566e-05,0.42434487,0.19359857,0.00021867048053536564,0.5049726,0.062396526,0.0061827786,0.07168963
17,2,1,L2H1,0.64312875,0.0035776056,1.4716457e-05,0.0006519578,1.530223e-09,0.15577327,0.09010538,0.0,0.8852314,0.007881488,7.286678e-05,0.0030329889
18,2,2,L2H2,0.34451059,0.054870162,0.0050812894,0.08698618,0.0017674402,0.47262588,-0.8115437,9.939567826222628e-05,0.46023163,0.06875417,0.009182647,0.13925873
19,2,3,L2H3,0.33119625,0.02946841,0.0057329144,0.052602425,0.0003851894,0.7748611,0.6956682,0.002961991121992469,0.46396533,0.03303159,0.0071359235,0.07537266
20,2,4,L2H4,0.31311736,0.01286614,2.5095183e-05,0.0032664295,3.2000535e-05,0.23316045,0.026083283,1.9879134924849495e-05,0.441617,0.033339377,5.6108678e-05,0.01460128
21,2,5,L2H5,0.5034763,0.08651824,0.06141216,0.312323,0.0059199566,0.88983965,0.4147099,0.007216126192361116,0.63360727,0.07585807,0.053293824,0.31721812
22,2,6,L2H6,0.15220365,0.054904267,0.0044471435,0.13018966,0.0044507906,-0.33118466,-0.91551113,0.0,0.20466457,0.1000158,0.02045156,0.36129567
23,2,7,L2H7,0.4420675,0.023499366,0.0002496809,0.0077728773,0.0004588018,0.36537766,-0.4207966,1.9879134924849495e-05,0.6185533,0.049388364,0.0007277259,0.024858795
24,3,0,L3H0,0.42287782,0.41996777,0.221624,0.9869169,0.4259488,0.9269907,-0.23072301,0.014014789834618568,0.4104761,0.17935945,0.05043487,0.5513737
25,3,1,L3H1,0.5815005,0.50732815,0.22348543,0.7758762,0.77421945,0.95745087,-0.2290068,0.0643288791179657,0.5578295,0.011524512,0.009739213,0.0360567
26,3,2,L3H2,0.7232636,0.0648396,0.0046096714,0.04084731,0.00013922834,0.19321251,0.38033152,0.0003180661587975919,1.1908326,0.10487469,0.010872893,0.084354214
27,3,3,L3H3,1.398755,0.19229455,0.7004228,0.9098744,0.095026694,0.9971156,0.4996631,0.5107148289680481,1.3817325,0.109120615,0.28555048,0.7197965
28,3,4,L3H4,0.6350978,0.021467786,0.0018245688,0.010758782,0.00065628026,0.7274281,0.86118394,0.002206583973020315,0.9065358,0.04335535,0.0044542262,0.027136173
29,3,5,L3H5,0.2894525,0.3725741,0.05358313,0.7964042,0.7941717,0.9835872,0.45932952,0.2848481237888336,0.25299984,0.044904172,0.00351072,0.07413421
30,3,6,L3H6,0.49884337,0.91567665,0.34395862,0.9992563,0.8265155,0.9565599,0.0013915979,0.03126987814903259,0.34931967,0.06986332,0.0056959395,0.13675074
31,3,7,L3H7,0.31649467,0.064495035,0.005554931,0.086160846,0.00237472,-0.18116082,0.5084097,9.939567826222628e-05,0.47261912,0.087856084,0.012290849,0.15700345
32,4,0,L4H0,0.41537514,0.011680085,0.0019983137,0.016136015,0.009132299,0.92707133,0.8457043,0.03460957482457161,0.60732675,0.03295605,0.006268822,0.055955946
33,4,1,L4H1,0.12162202,0.026587438,0.00030221842,0.07390854,0.009957042,-0.9807109,0.2728706,0.0,0.16547187,0.075339034,0.005366268,0.15826227
34,4,2,L4H2,0.26383272,0.27964756,0.09577841,0.87241954,0.1518495,0.9758767,-0.09535464,0.06164519861340523,0.33243564,0.24147776,0.08719714,0.87690234
35,4,3,L4H3,0.30843824,0.14761521,0.025071204,0.46193892,0.053211723,0.95315474,-0.00036555767,0.012265426106750965,0.41444385,0.07329728,0.016718106,0.2546101
36,4,4,L4H4,0.12469502,0.0051368712,4.562486e-05,0.0030214288,0.08364764,0.9781459,0.33805424,0.15877464413642883,0.17816737,0.004015692,2.6358646e-06,0.002395198
37,4,5,L4H5,0.37393183,0.00038905255,8.288166e-06,9.151477e-05,0.0019971312,0.7999298,0.7245552,0.002127067418769002,0.9043423,0.02180359,0.0010810588,0.014208667
38,4,6,L4H6,0.15471259,4.3344593e-05,7.21822e-08,6.6343346e-06,0.038201507,0.9903924,0.8079363,0.24916507303714752,0.28414485,8.1881284e-05,1.3799389e-08,2.4535093e-05
39,4,7,L4H7,0.2073886,0.012444977,0.0017358876,0.02094389,0.32181412,0.98933464,0.69814265,0.3585997223854065,0.23457308,0.0030534577,0.000347536,0.004223246
40,5,0,L5H0,0.4334647,5.1325248e-08,2.4995045e-13,1.7187071e-10,0.002783165,0.23892492,0.91876525,9.939567826222628e-05,0.7783216,2.156438e-06,4.681546e-11,9.088967e-09
41,5,1,L5H1,0.5426847,6.5524612e-09,7.376118e-11,4.4322018e-10,3.3187186e-12,0.2669754,0.95291734,1.9879134924849495e-05,0.68551844,1.415391e-06,4.104998e-08,2.4801514e-07
42,5,2,L5H2,0.3980488,2.754717e-11,6.058116e-15,2.9432546e-15,0.00040081376,0.5808115,0.98085946,0.0002981870202347636,0.66010165,3.866992e-10,7.980194e-14,1.8663096e-13
43,5,3,L5H3,0.26717475,5.148933e-13,1.4620669e-18,5.160939e-19,1.7793321e-09,0.21885218,0.99557555,1.9879134924849495e-05,0.39263505,2.9198357e-09,1.014157e-16,6.832906e-14
44,5,4,L5H4,0.26897985,1.0506313e-11,1.0147333e-15,3.5695332e-16,0.0021494436,0.24699278,0.99268144,9.939567826222628e-05,0.39454538,4.0951287e-09,5.975014e-14,2.6012905e-13
45,5,5,L5H5,0.5372806,3.7578907e-08,1.6525722e-09,9.119149e-09,0.004140272,-0.16798328,0.9122259,0.0,0.8696135,6.4484566e-06,3.3897277e-07,1.5391078e-06
46,5,6,L5H6,0.14611608,1.381133e-08,1.6709687e-12,2.52649e-11,0.0025129542,0.3744181,0.97494096,0.0002783078816719353,0.20555176,2.3926783e-05,1.1512989e-10,4.6379543e-07
47,5,7,L5H7,1.0356438,1.5625343e-08,3.326468e-10,1.1248049e-09,3.6984757e-16,-0.017272128,0.96284467,1.9879134924849495e-05,1.2722402,2.9483233e-06,1.2303444e-07,3.9315776e-07
